"","iso_code","continent","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","datestime"
"198","GBR","Europe",78991,8719,11599,839,1163.583,128.436,170.86,12.359,2024148.54545455,62716.1818181818,29.8168409090909,0.923909090909091,64880.1621621622,0.955756756756757,75.93,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,94.2155,2.54,103
"199","USA","North America",939053,48529,53189,2172,2836.995,146.612,160.691,6.562,15294588.2352941,697030.5,46.2067058823529,2.1058,454619.904761905,1.37347619047619,72.69,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,75.9312142857143,2.77,117
"200","VIR","North America",17,17,0,0,162.799,162.799,0,0,725110.390214974,104336.118421828,28.4241561972426,0.51562571519761,70118.6853920516,0.419774732524589,74.9215045327897,104423,306.48,42.2,18.601,10.799,21655.2437037037,8.3,273.67,12.26,7.73125,20.1666666666667,75.9312142857143,2.31652173913043,84
"201","URY","South America",295,36,1,1,84.923,10.364,0.288,0.288,3425,299,0.986,0.086,647.402985074627,0.186388059701493,62.96,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,65.9906666666667,2.8,90
"202","UZB","Asia",796,172,4,1,23.783,5.139,0.12,0.03,222760.246662944,11590.3171981826,18.5326948050684,0.478731413513021,9322.55842395497,0.416967308344982,90.74,33469199,76.134,28.2,4.469,2.873,6253.104,6.75483870967742,724.417,7.57,1.3,24.7,72.0893461538462,4,103
"203","VAT","Europe",5,4,0,0,6180.47,4944.376,0,0,368329.318011682,13638.1478773149,35.2563776325551,0.704237414321466,15123.6878734078,0.652384570702569,76.9023147587023,809,626.702125,42.07,17.719625,11.83035,33562.2263023256,0.874193548387097,230.159414634146,6.55840909090909,23.4025,35.5925,94.2155,5.10404545454545,87
"204","VEN","South America",1121,177,10,0,39.422,6.225,0.352,0,151682.199286988,5925.71031746032,23.2454727272727,0.246775793650794,5569.26458288269,0.209497224024804,85.19,28435943,36.253,29,6.614,3.915,16745.022,2.86666666666667,204.85,6.47,10.9333333333333,24.6625,65.9906666666667,0.8,146
"205","VNM","Asia",121,26,0,0,1.243,0.267,0,0,75875.4864864865,2835.36363636364,0.779567567567568,0.0290909090909091,1887,0.019,50,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,83
"206","ESH","Africa",23,17,1,1,38.505,28.46,1.674,1.674,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,71.5864093408156,597330,103.492452830189,28.4,3.66927777777778,1.38,5443.83713207547,33.7642857142857,287.297425925926,5.62944444444444,2.55945945945946,27.0675675675676,25.1552727272727,1.48829268292683,151
"207","YEM","Asia",453,50,103,15,15.188,1.676,3.453,0.503,222760.246662944,11590.3171981826,18.5326948050684,0.478731413513021,9322.55842395497,0.416967308344982,58.33,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,157
"208","ZMB","Africa",654,208,7,0,35.574,11.314,0.381,0,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,43.52,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,136
"209","ZWE","Africa",132,76,4,0,8.881,5.113,0.269,0,16440,186,1.106,0.013,194,0.013,87.96,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,149
"210","OWID_WRL","World",6737150,133510,395710,4784,864.314,17.128,50.766,0.614,NA,NA,NA,NA,NA,NA,NA,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,158
"211","International","World",355,134,0,0,864.314,17.128,50.766,0.614,NA,NA,NA,NA,NA,NA,NA,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,47
