"","txsize","txvirtualsize","txinputs_count","txoutputs_count","txinput_val","txoutput_val","txfee","Min_received","Max_received","Avg_received","Total_received","Stdev_received","Var_received","Min_sent","Max_sent","Avg_sent","Total_sent","Stdev_sent","Var_sent"
"94",258,258,1,2,4e+06,4e+06,0,0.01,0.03,0.02,0.04,0.014142135623731,2e-04,0.04,0.04,0.04,0.04,0,0
"95",1156,1156,6,2,1.08e+08,1.08e+08,0,0.08,1,0.54,1.08,0.650538238691624,0.4232,0.16,0.28,0.18,1.08,0.0489897948556636,0.0024
"96",257,257,1,2,1e+07,1e+07,0,0.02,0.08,0.05,0.1,0.0424264068711929,0.0018,0.1,0.1,0.1,0.1,0,0
"97",259,259,1,2,1e+07,9e+06,1000000,0.04,0.05,0.045,0.09,0.00707106781186548,5e-05,0.1,0.1,0.1,0.1,0,0
"98",257,257,1,2,1e+07,1e+07,0,0.02,0.08,0.05,0.1,0.0424264068711929,0.0018,0.1,0.1,0.1,0.1,0,0
"99",405,405,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.02,0,0,0.01,0.01,0.01,0.02,0,0
"100",224,224,1,1,1e+06,1e+06,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0,0
"101",225,225,1,1,1e+06,1e+06,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0,0
"102",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.02,0,0,0.01,0.01,0.01,0.02,0,0
"103",403,403,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.02,0,0,0.01,0.01,0.01,0.02,0,0
"104",259,259,1,2,9e+06,9e+06,0,0.01,0.08,0.045,0.09,0.0494974746830583,0.00245,0.09,0.09,0.09,0.09,0,0
"105",258,258,1,2,2.2e+07,2.2e+07,0,0.04,0.18,0.11,0.22,0.0989949493661166,0.0098,0.22,0.22,0.22,0.22,0,0
"106",224,224,1,1,5e+06,4e+06,1000000,0.04,0.04,0.04,0.04,0,0,0.05,0.05,0.05,0.05,0,0
"107",258,258,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"108",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"109",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"110",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"111",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"112",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"113",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"114",225,225,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
